Date,Open,High,Low,Close,Change (Pips),Change (%)
11/14/2018 0:00,113.804,114.008,113.296,113.623,-18.1,-0.16%
11/15/2018 0:00,113.608,113.709,113.1,113.624,1.6,0.01%
11/16/2018 0:00,113.616,113.636,112.642,112.861,-75.5,-0.67%
11/19/2018 0:00,112.745,112.872,112.416,112.551,-19.4,-0.17%
11/20/2018 0:00,112.55,112.846,112.307,112.747,19.7,0.17%
11/21/2018 0:00,112.761,113.149,112.645,113.048,28.7,0.25%
11/23/2018 0:00,112.929,113.01,112.661,112.918,-1.1,-0.01%
11/26/2018 0:00,112.905,113.653,112.879,113.603,69.8,0.61%
11/27/2018 0:00,113.547,113.841,113.412,113.769,22.2,0.20%
11/28/2018 0:00,113.769,114.037,113.443,113.687,-8.2,-0.07%
11/29/2018 0:00,113.677,113.683,113.19,113.474,-20.3,-0.18%
11/30/2018 0:00,113.48,113.72,113.312,113.544,6.4,0.06%
12/3/2018 0:00,113.638,113.822,113.375,113.637,-0.1,0.00%
12/4/2018 0:00,113.636,113.652,112.574,112.782,-85.4,-0.76%
12/6/2018 0:00,113.185,113.193,112.231,112.672,-51.3,-0.46%
12/7/2018 0:00,112.646,112.926,112.552,112.688,4.2,0.04%
12/10/2018 0:00,112.599,113.367,112.241,113.316,71.7,0.63%
12/11/2018 0:00,113.316,113.465,113.006,113.385,6.9,0.06%
12/12/2018 0:00,113.356,113.518,113.139,113.268,-8.8,-0.08%
12/13/2018 0:00,113.269,113.708,113.167,113.605,33.6,0.30%
12/14/2018 0:00,113.593,113.673,113.203,113.401,-19.2,-0.17%
12/17/2018 0:00,113.335,113.518,112.679,112.825,-51,-0.45%
12/18/2018 0:00,112.827,112.855,112.251,112.524,-30.3,-0.27%
12/19/2018 0:00,112.49,112.662,112.086,112.478,-1.2,-0.01%
12/20/2018 0:00,112.476,112.605,110.814,111.287,-118.9,-1.07%
12/21/2018 0:00,111.281,111.462,110.936,111.211,-7,-0.06%
12/24/2018 0:00,110.943,111.193,110.27,110.431,-51.2,-0.46%
12/26/2018 0:00,110.282,111.407,110.137,111.36,107.8,0.97%
12/27/2018 0:00,111.34,111.34,110.455,110.986,-35.4,-0.32%
12/28/2018 0:00,110.965,111.008,110.143,110.296,-66.9,-0.61%
